Song Name,Artist,Album,Duration
"...And to Those I Love, Thanks for Sticking Around","$uicideboy$","Stop Staring At the Shadows",2:49
".38 Special","Shakewell","Big Juice tha Sip",2:11
"#ImSippinTeaInYoHood (feat. Xxxtentacion)","Zamasu","#ImSippinTeaInYoHood",2:55
"10 Chickens (Bonus Track)","Freddie Gibbs","Shadow of a Doubt",2:39
"10 Times (feat. Gucci Mane & E-40)","Freddie Gibbs","Shadow of a Doubt",3:30
"1985 (Intro to “The Fall Off”)","J. Cole","KOD",3:11
"1993 (feat. Smino & Buddy)","Dreamville, J. Cole, JID & EARTHGANG","Revenge Of The Dreamers III: Director's Cut",3:31
"1993 (feat. Smino & Buddy)","Dreamville, J. Cole, JID & EARTHGANG","Revenge Of The Dreamers III",3:31
"1998 (feat. Joey Bada$$)","Maxo Kream","#Maxo187",3:49
"2 Legit","Freddie Gibbs","Freddie",2:28
"2 Step Stevie (R.L.P.)","Ramirez","Son Of Serpentine",2:48
"20 Karat Jesus","Freddie Gibbs","You Only Live 2wice",5:22
"200 Dollars","KOTA the Friend","Lyrics to GO, Vol. 2",1:39
"2009","Mac Miller","Swimming",5:48
"24 hours to live","Joyner Lucas","24 hours to live",3:29
"3 Nights","Dominic Fike","Don't Forget About Me, Demos",2:58
"3230","Vince Staples","Summertime '06",2:53
"33rd Blakk Glass","City Morgue, ZillaKami & SosMula","CITY MORGUE VOL 1: HELL OR HIGH WATER",2:31
"3AM (feat. ScHoolboy Q)","Maxo Kream","Brandon Banks",2:59
"4 Da Kidz","Kid Cudi","Man On The Moon III: The Chosen",3:05
"4 Thangs (Extended Version) (feat. Big Sean & Hit-Boy)","Freddie Gibbs","4 Thangs (Extended Version)",1:57
"4 Your Eyez Only","J. Cole","4 Your Eyez Only",8:51
"4EVA","KAYTRAMINÉ, Aminé, KAYTRANADA, and Pharrell Williams","KAYTRAMINÉ",3:11
"5 A.M.","Logic","YS Collection, Vol. 1",3:41
"631 MAKES ME","ZillaKami","DOG BOY",1:09
"9's in Da Coupe","Cutthroat Mafia","Talez of the Undead, Vol. 1",3:28
"A GHETTO CHRISTMAS CAROL","XXXTENTACION","A GHETTO CHRISTMAS CAROL",1:45
"A Kiss To Build A Dream On","Louis Armstrong","Hello, Dolly!",4:32
"A Moment 4 Jazz","Larry Lovestein & The Velvet Revival","You",3:43
"A Paris (Récital au Théâtre de L'etoile)","Yves Montand","Le Paris De ... Montand",3:04
"Acid Rain","Chance the Rapper","Acid Rap",3:37
"Adore You","Harry Styles","Fine Line",3:28
"After Hours","The Weeknd","After Hours",6:02
"Again","Dave East","Kairi Chanel",3:29
"Ain't No Mountain High Enough","Marvin Gaye & Tammi Terrell","Best Of",2:27
"Album of the Year (Freestyle)","J. Cole","Album of the Year (Freestyle)",2:19
"Alexys","Freddie Gibbs","You Only Live 2wice",3:00
"All Girls Are The Same","Juice WRLD","Goodbye & Good Riddance",2:46
"All Night (feat. Knox Fortune)","Chance the Rapper","Coloring Book",2:22
"All We Got (feat. Kanye West & Chicago Children's Choir)","Chance the Rapper","Coloring Book",3:24
"Alone","Night Lovell","Alone",2:10
"Amnesia","Freddie Gibbs","You Only Live 2wice",3:19
"Amphetamine","Smino","blkswn",7:50
"Andrea","Freddie Gibbs","You Only Live 2wice",3:12
"Angels (feat. Saba)","Chance the Rapper","Coloring Book",3:22
"Anita","Smino","blkswn",3:27
"Anita","Smino","Anita",3:57
"Annoying (feat. T.I.)","Dave East","P2",3:41
"Another Day","Kid Cudi","Man On The Moon III: The Chosen",2:59
"Apparently","J. Cole","2014 Forest Hills Drive",3:20
"ART OF WAR (feat. Denzel Curry & Rico Nasty)","Jasiah","ART OF WAR",4:53
"As It Was","Harry Styles","Harry's House",3:07
"Atlantic,","Sleeping At Last","Yearbook",2:48
"Automatic","Freddie Gibbs","Freddie",3:28
"AUTOMATIC","Denzel Curry & Tay Keith","ZUU",2:32
"B*tches, Dope, and Dollers (feat. G-Wiz)","Freddie Gibbs","The Tonite Show with Freddie Gibbs & The Worlds Freshest",3:03
"Babushka Boi","A$AP Rocky","Babushka Boi",3:45
"BabyWipe","Ski Mask The Slump God","You Will Regret (Reloaded)",3:08
"Backstage Pass","Smino, Monte Booker & The Drums","Backstage Pass",2:49
"BAD!","XXXTENTACION","SKINS",3:45
"Bandana (feat. Assassin)","Freddie Gibbs & Madlib","Bandana",1:35
"Bandit","Juice WRLD & YoungBoy Never Broke Again","Bandit",3:22
"BANG","ELUSID","BANG",3:10
"Barack Obama Special","Bas","Milky Way",3:22
"Barcelona (feat. Samm Henshaw)","KOTA the Friend","Barcelona (feat. Samm Henshaw)",3:08
"BATSHIT","Lil Darkie","BATSHIT",3:21
"Be Careful Texas","That Mexican OT","Lonestar Luchador",1:24
"Beef Rapp","MF DOOM","MM..FOOD",2:15
"Besame Mucho","Lara Louise","Besame Mucho",4:40
"Big Black Truck","Dreamville & JID","Revenge Of The Dreamers III: Director's Cut",3:56
"Big Boss Rabbit","Freddie Gibbs","Big Boss Rabbit",2:33
"Big Dawgs","Hanumankind & Kalmi","Big Dawgs",2:59
"Big Worm","Maxo Kream","The Persona Tape",3:11
"Bigg Facts","Moneybagg Yo","2 Heartless",3:17
"Bitch, Don’t Kill My Vibe","Kendrick Lamar","good kid, m.A.A.d. city",3:01
"Black Cats","ZillaKami","DOG BOY",5:11
"Black Owned Business","Bas","Too High To Riot",1:40
"Black Skinhead","Kanye West","Yeezus",2:42
"Bleach (feat. Denzel Curry)","ZillaKami","DOG BOY",3:09
"Blessings (feat. Jamila Woods)","Chance the Rapper","Coloring Book",4:18
"Blessings (feat. Ty Dolla $ign, Anderson .Paak, BJ The Chicago Kid & Raury)","Chance the Rapper","Coloring Book",3:42
"Blinding Lights","The Weeknd","After Hours",3:51
"Blinding Lights","The Weeknd","Blinding Lights",3:21
"Bloxk Party (feat. Drego)","Sada Baby","Bloxk Party",3:22
"Blue Suede","Vince Staples","Hell Can Wait",3:28
"Blue World","Mac Miller","Circles (Deluxe)",3:39
"Boca Raton","Bas","Milky Way",3:30
"Bohemian Rhapsody","Queen","A Night At The Opera (Deluxe Remastered Version)",3:18
"Bomb (feat. Raekwon)","Freddie Gibbs & Madlib","Piñata",5:55
"Born Free","Andy Williams","Andy Williams' Greatest Hits",3:44
"Born Free","Frank Sinatra","The World We Knew",2:25
"Bounce","Logic","Under Pressure (Deluxe)",2:03
"Bow Down (feat. Denzel Curry)","Deniro Farrar","Rebirth",4:05
"Boy in the Box","City Morgue, ZillaKami & SosMula","My Bloody America",3:47
"Break Shit","Jasiah","Break Shit",2:44
"Breakdown","J. Cole","Cole World: The Sideline Story",1:36
"Broccoli (feat. Lil Yachty)","Shelley FKA DRAM","Big Baby DRAM (Deluxe Version)",4:46
"Broken (feat. Scarface)","Freddie Gibbs & Madlib","Piñata",3:57
"Bulls On Parade","Rage Against The Machine","Evil Empire",4:09
"Buttons","Mac Miller","Buttons",3:50
"C.R.E.A.M. (Cash Rules Everything Around Me) (Radio Edit)","Wu-Tang Clan","C.R.E.A.M. (Cash Rules Everything Around Me)",3:49
"CABIN IN THE WOODS (feat. Jasiah)","City Morgue, ZillaKami & SosMula","CITY MORGUE VOL 3: BOTTOM OF THE BARREL",4:05
"Can't Feel My Face","The Weeknd","Beauty Behind The Madness",2:09
"Can't Get Enough (feat. Trey Songz)","J. Cole","Cole World: The Sideline Story",3:34
"Can't Touch Me","Deniro Farrar","Guilty Until Proven Innocent",3:46
"Canal St. (feat. Bones)","A$AP Rocky","AT.LONG.LAST.A$AP",3:37
"Candles","Juice WRLD","Goodbye & Good Riddance",3:48
"Carbonated Water","Ski Mask The Slump God","Carbonated Water",3:04
"Carefree","Mick Jenkins","Carefree",2:22
"Carry On (feat. Joey Bada$$ & Freddie Gibbs)","Statik Selektah","What Goes Around",3:11
"Cereal (feat. Kenny Mason)","IDK & JID","Cereal",3:28
"Chain Smoker","Chance the Rapper","Acid Rap",3:19
"CHAINS","ZillaKami","DOG BOY",3:31
"CHAINS","ZillaKami","CHAINS",2:54
"Change","J. Cole","4 Your Eyez Only",2:54
"Cheat Codes (feat. Lxui Savage & Ski Mask The Slump God)","Bass Santana","Obeah Child",2:56
"Cherry Bomb","The Runaways","The Runaways",2:19
"Chewing Gum!","ZillaKami","DOG BOY",2:02
"Chicago Diner","KOTA The Friend & Lil KOTA","Outside",2:56
"Children Of The Void (feat. Sosmula)","Ramirez","Children Of The Void",1:51
"Chill Bill (feat. J. Davi$ & Spooks)","Rob $tone","Chill Bill",2:58
"Cinderella (feat. Ty Dolla $ign)","Mac Miller","The Divine Feminine",3:46
"Circles","Mac Miller","Circles (Deluxe)",2:22
"Classic Mouth","Deniro Farrar","Guilty Until Proven Innocent",2:51
"Clinton Hill","KOTA the Friend","Lyrics to GO, Vol. 2",4:18
"Clouds Never Get Old","Bas","Too High To Riot",1:29
"Cocoa Butter Kisses (feat. Twista & Vic Mensa)","Chance the Rapper featuring Vic Mensa and Twista","Acid Rap",3:09
"Cold Ass Nigga","Freddie Gibbs","Shadow of a Doubt",5:08
"Cole World","J. Cole","Cole World: The Sideline Story",3:54
"Collard Greens (feat. Kendrick Lamar)","ScHoolboy Q","Oxymoron",3:05
"Colorado","KOTA The Friend","Colorado",5:00
"Come & Go (feat. Marshmallow)","Juice WRLD","Legends Never Die",3:27
"Come Back to Earth","Mac Miller","Swimming",3:26
"Complicated","Mac Miller","Circles (Deluxe)",2:42
"Congratulations (feat. Bilal)","Mac Miller","The Divine Feminine",3:53
"CONSCIENCE","City Morgue, ZillaKami & SosMula","CITY MORGUE VOL 3: BOTTOM OF THE BARREL",4:17
"Conversation Pt. 1","Mac Miller","Swimming",2:08
"Conversations","Juice WRLD","Legends Never Die",3:31
"COOLEST MONKEY IN THE JUNGLE (feat. SahBabii)","Ski Mask The Slump God","BEWARE THE BOOK OF ELI",3:02
"Costa Rica (feat. Guapdad 4000, Reese LAFLARE, Jace & Mez)","Dreamville, Bas & JID","Revenge Of The Dreamers III",2:33
"Costa Rica (feat. Guapdad 4000, Reese LAFLARE, Jace & Mez)","Dreamville","Revenge Of The Dreamers III: Director's Cut",3:38
"Country Roads (Live 1995)","John Denver","The Wildlife Concert",3:38
"Crazy He Calls Me","Billie Holiday","Lover Man",3:16
"Again","Dave East","Kairi Chanel",3:06
"Ain't No Mountain High Enough","Marvin Gaye & Tammi Terrell","Best Of",2:27
Song Name,Artist,Album,Duration
"Dave East & Sosmula Home Invasion","DJ Triple Exe","Street Kings 66",3:02
"DAWG","City Morgue, ZillaKami & SosMula","DAWG",1:41
"Day 'N' Nite (nightmare)","Kid Cudi","Man On The Moon: The End Of Day",2:00
"Days Go By","Deniro Farrar","The Patriarch",3:42
"Deal Wiv It","Mura Masa & slowthai","R.Y.C",5:17
"Dear Maria","Freddie Gibbs","You Only Live 2wice",2:57
"death bed (coffee for your head)","Powfu & beabadoobee","poems of the past",3:56
"DEATH CULT INTRO","City Morgue, ZillaKami & SosMula","CITY MORGUE VOL 3: BOTTOM OF THE BARREL",2:54
"Death Row (feat. 03 Greedo)","Freddie Gibbs","Freddie",1:37
"dedgrl","ZillaKami","DOG BOY",2:23
"Deeper","Freddie Gibbs","Piñata",1:58
"Deja Vu","J. Cole","4 Your Eyez Only",3:20
"Designer","Bas","Milky Way",4:25
"Diablo","Mac Miller","Faces",2:54
"Diamonds 2 (feat. Cassie Jo Craig & Irie Jane Gibbs)","Freddie Gibbs","Freddie",3:19
"Die for You","The Weeknd","Starboy",3:36
"DIET_","Denzel Curry & Kenny Beats","UNLOCKED",4:21
"Disgusted (feat. Dreamville)","Dreamville","Revenge Of The Dreamers III: Director's Cut",2:24
"Dive","Kid Cudi","Man On The Moon III: The Chosen",2:44
"Do Not Disturb","Drake","More Life",2:29
"Dog Days Are Over","Florence + The Machine","Lungs (Digital Deluxe Version)",4:44
"Dollar and a Dream III","J. Cole","Cole World: The Sideline Story",4:13
"Don't Front","Bas","Don't Front",4:44
"Don't Hit Me Right Now (feat. Yung Baby Tate, Guapdad 4000 & Buddy)","Dreamville & Bas","Revenge Of The Dreamers III",3:16
"Don't Hit Me Right Now (feat. Yung Baby Tate, Guapdad 4000 & Buddy)","Dreamville","Revenge Of The Dreamers III: Director's Cut",2:55
"Don't Run (Remix) (feat. Young M.A, Dave East, Don Q & Fabolous)","Casanova","Don't Run (Remix)",2:55
"Don't Stop Me Now","Queen","Jazz (Deluxe Remastered Version)",5:12
"Dopamine (feat. Cozz)","Bas","Too High To Riot",3:30
"Yellow Tape","Key Glock","Dough",3:37
"Down Bad (feat. JID, Bas, J. Cole & EARTHGANG)","Dreamville","Revenge Of The Dreamers III",3:19
"Revenge Of The Dreamers III: Director's Cut,Down Bad (feat. Dreamville, JID, J. Cole & EARTHGANG)","Dreamville","Revenge Of The Dreamers III: Director's Cut",2:50
"DR. WHOEVER","Aminé","ONEPOINTFIVE",4:20
"DRAINO (feat. Denzel Curry)","City Morgue, ZillaKami & SosMula","CITY MORGUE VOL 2: AS GOOD AS DEAD",3:23
"Dreams (2004 Remaster)","Fleetwood Mac","Rumours",4:18
"Drug Dealer","slowthai","Nothing Great About Britain",3:08
"Dunno","Mac Miller","Swimming",2:58
"Elevator","KOTA the Friend & Statik Selektah","To See A Sunset",3:40
"Elsie's Baby Boy (flashback)","Kid Cudi","Man On The Moon III: The Chosen",3:40
"Emotionally Dumb","KOTA the Friend","Lyrics to GO, Vol. 2",1:34
"End Of Daze (feat. Jurdan Bryant, Mereba & Hollywood JB)","Spillage Village, EARTHGANG & JID","Spilligion",5:34
"Enemy (from the series Arcane League of Legends)","Imagine Dragons, JID, Arcane & League Of Legends","Mercury : Acts 1 & 2",2:54
"Envy","Dave East","Karma 3",2:58
"Equalizer (feat. Ronny J)","Denzel Curry","13",2:50
"Everybody","Mac Miller","Circles (Deluxe)",4:17
"everybody dies","J. Cole","everybody dies",2:42
"Everybody Dies In Their Nightmares","XXXTENTACION","17",1:36
"Everybody's Something (feat. BJ The Chicago Kid & Saba)","Chance the Rapper featuring Saba and BJ The Chicago Kid","Acid Rap",4:37
"Everyday (feat. Rod Stewart, Miguel & Mark Ronson)","A$AP Rocky","AT.LONG.LAST.A$AP",4:21
"EVERYTHING IS BROKEN","City Morgue, ZillaKami & SosMula","CITY MORGUE VOL 3: BOTTOM OF THE BARREL",4:21
"Everything's Good (Good Ass Outro)","Chance the Rapper","Acid Rap",2:20
"Extradite (feat. Black Thought)","Freddie Gibbs","Shadow of a Doubt",5:34
"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)","A$AP Rocky","LONG.LIVE.A$AP (Deluxe Version)",4:40
"What It Means to Be King","King Von","What It Means to Be King",3:54
"Falling","Harry Styles","Fine Line",2:37
"False Advertisement","Hopsin","False Advertisement",4:01
"False Prophets","J. Cole","False Prophets",4:36
"Fast Car","Luke Combs","Gettin' Old",3:58
"Favorite Song (feat. Childish Gambino)","Chance the Rapper featuring Childish Gambino","Acid Rap",4:26
"FBC","Freddie Gibbs","Freddie",3:06
"Finish Line / Drown (feat. T-Pain, Kirk Franklin, Eryn Allen Kane & Noname)","Chance the Rapper","Coloring Book",2:04
"FLAP LIPS","City Morgue & ZillaKami","CITY MORGUE VOL 3: BOTTOM OF THE BARREL",6:47
"Flat Tummy Tea","Freddie Gibbs & Madlib","Flat Tummy Tea",1:58
"Flaunt","Mick Jenkins","The Circus",2:35
"Floating","Mac Miller","Circles (Deluxe)",2:22
"Fly Me To The Moon (2008 Remastered) (feat. Count Basie And His Orchestra)","Frank Sinatra","Nothing But The Best (2008 Remastered)",4:15
"Fly Me To The Moon (In Other Words)","Frank Sinatra & Count Basie","It Might As Well Be Swing",2:28
"Foldin Clothes","J. Cole","4 Your Eyez Only",2:30
"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke","Shoot For The Stars Aim For The Moon",5:17
"For Whom the Bell Tolls","J. Cole","4 Your Eyez Only",3:11
"Forever and a Day","Freddie Gibbs","Shadow of a Doubt",2:08
"Forgive Me","I’m That Puddle","Forgive Me",4:37
"Fragrance (feat. Correy C)","Bas","Milky Way",3:04
"Frank Lucas (feat. Benny the Butcher)","Freddie Gibbs & The Alchemist","Alfredo",3:38
"Freddie Gordy","Freddie Gibbs","Shadow of a Doubt",4:42
"Front Desk","Bas","Milky Way",3:52
"FROSTY","ZillaKami","DOG BOY",3:21
